Domain,IP
130-199-251-1.nat.bnl.de,103.224.182.245
130-199-251-1.nat.bnl.gov,130.199.251.1
130-199-251-1.nat.bnl.net,64.237.52.187
130-199-251-1.nat.bnl.us,103.224.182.238
130-199-251-1.nat.bnl.uk,76.223.54.146
130-199-251-1.nat.bnl.uk,13.248.169.48
130-199-251-1.nat.bnl.in,86.111.242.221
130-199-251-1.nat.bnl.ru,45.130.41.107
130-199-251-1.nat.bnl.cn,170.33.12.185
130-199-251-1.nat.bnl.icu,47.91.170.222
130-199-251-1.nat.bnl.icu,8.218.208.240
130-199-251-1.nat.bnl.icu,47.76.127.217
130-199-251-10.nat.bnl.gov,130.199.251.10
130-199-251-10.nat.bnl.de,103.224.182.245
130-199-251-10.nat.bnl.net,64.237.52.187
130-199-251-10.nat.bnl.cn,170.33.12.185
130-199-251-10.nat.bnl.icu,47.76.127.217
130-199-251-10.nat.bnl.icu,8.218.208.240
130-199-251-10.nat.bnl.icu,47.91.170.222
130-199-251-10.nat.bnl.in,86.111.242.221
130-199-251-10.nat.bnl.uk,76.223.54.146
130-199-251-10.nat.bnl.uk,13.248.169.48
130-199-251-10.nat.bnl.us,103.224.182.238
130-199-251-10.nat.bnl.ru,45.130.41.107
130-199-251-11.nat.bnl.gov,130.199.251.11
130-199-251-11.nat.bnl.de,103.224.182.245
130-199-251-11.nat.bnl.icu,8.218.208.240
130-199-251-11.nat.bnl.icu,47.91.170.222
130-199-251-11.nat.bnl.icu,47.76.127.217
130-199-251-11.nat.bnl.in,86.111.242.221
130-199-251-11.nat.bnl.cn,170.33.12.185
130-199-251-11.nat.bnl.net,64.237.52.187
130-199-251-11.nat.bnl.us,103.224.182.238
130-199-251-11.nat.bnl.uk,76.223.54.146
130-199-251-11.nat.bnl.uk,13.248.169.48
130-199-251-11.nat.bnl.ru,45.130.41.107
130-199-251-12.nat.bnl.gov,130.199.251.12
130-199-251-12.nat.bnl.net,64.237.52.187
130-199-251-12.nat.bnl.de,103.224.182.245
130-199-251-12.nat.bnl.cn,170.33.12.185
