domain,spf_status,spf_record,dmarc_status,dmarc_record,dkim_status,dkim_selectors,dkim_records
130-199-251-1.nat.bnl.net,valid,v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all,missing or invalid,,no valid records,,
130-199-251-10.nat.bnl.net,valid,v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all,missing or invalid,,no valid records,,
130-199-251-10.nat.bnl.uk,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-1.nat.bnl.uk,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-12.nat.bnl.net,valid,v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all,missing or invalid,,no valid records,,
130-199-251-10.nat.bnl.de,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
130-199-251-11.nat.bnl.net,valid,v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all,missing or invalid,,no valid records,,
130-199-251-10.nat.bnl.us,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
130-199-251-11.nat.bnl.gov,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-1.nat.bnl.us,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
130-199-251-11.nat.bnl.uk,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-13.nat.bnl.net,valid,v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all,missing or invalid,,no valid records,,
130-199-251-12.nat.bnl.de,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
130-199-251-12.nat.bnl.uk,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-11.nat.bnl.us,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
130-199-251-11.nat.bnl.in,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-1.nat.bnl.in,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-12.nat.bnl.us,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
130-199-251-13.nat.bnl.de,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
130-199-251-13.nat.bnl.gov,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-10.nat.bnl.in,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-13.nat.bnl.uk,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-10.nat.bnl.gov,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-13.nat.bnl.us,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
130-199-251-14.nat.bnl.net,valid,v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all,missing or invalid,,no valid records,,
130-199-251-1.nat.bnl.cn,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-1.nat.bnl.de,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
130-199-251-11.nat.bnl.de,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
130-199-251-12.nat.bnl.gov,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-14.nat.bnl.de,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
130-199-251-1.nat.bnl.ru,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-10.nat.bnl.ru,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-12.nat.bnl.in,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-10.nat.bnl.cn,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-14.nat.bnl.gov,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-14.nat.bnl.uk,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-11.nat.bnl.cn,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-1.nat.bnl.gov,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-15.nat.bnl.net,valid,v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all,missing or invalid,,no valid records,,
130-199-251-15.nat.bnl.gov,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-11.nat.bnl.ru,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-14.nat.bnl.us,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
130-199-251-15.nat.bnl.de,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
130-199-251-1.nat.bnl.icu,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-13.nat.bnl.in,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-15.nat.bnl.uk,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-17.nat.bnl.net,valid,v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all,missing or invalid,,no valid records,,
130-199-251-17.nat.bnl.gov,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-16.nat.bnl.gov,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-17.nat.bnl.de,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
130-199-251-15.nat.bnl.us,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
130-199-251-13.nat.bnl.cn,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-10.nat.bnl.icu,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-12.nat.bnl.ru,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-18.nat.bnl.net,valid,v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all,missing or invalid,,no valid records,,
130-199-251-14.nat.bnl.in,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-11.nat.bnl.icu,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-17.nat.bnl.uk,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-17.nat.bnl.us,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
130-199-251-12.nat.bnl.icu,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-13.nat.bnl.icu,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-19.nat.bnl.net,valid,v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all,missing or invalid,,no valid records,,
130-199-251-18.nat.bnl.gov,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-18.nat.bnl.de,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
130-199-251-14.nat.bnl.icu,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-13.nat.bnl.ru,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-14.nat.bnl.cn,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-19.nat.bnl.gov,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-18.nat.bnl.uk,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-15.nat.bnl.in,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-18.nat.bnl.us,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
130-199-251-19.nat.bnl.de,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
130-199-251-12.nat.bnl.cn,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-19.nat.bnl.uk,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-2.nat.bnl.net,valid,v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all,missing or invalid,,no valid records,,
130-199-251-15.nat.bnl.cn,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-14.nat.bnl.ru,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-2.nat.bnl.de,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
130-199-251-2.nat.bnl.gov,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-17.nat.bnl.in,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-20.nat.bnl.net,valid,v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all,missing or invalid,,no valid records,,
