domain,status,leak_url,status_code,reason
https://cache3.bnl.gov,No Leak,,,
https://blcond04.sdcc.bnl.gov,No Leak,,,
https://blrucio08-vrrp.sdcc.bnl.gov,No Leak,,,
https://bidspecs.bnl.gov,No Leak,,,
https://cache.bnl.gov,No Leak,,,
https://atlas-hllhc.docdb.bnl.gov,No Leak,,,
https://belle2db-files.sdcc.bnl.gov,No Leak,,,
https://belle2db.sdcc.bnl.gov,No Leak,,,
https://blrucio12.sdcc.bnl.gov,No Leak,,,
https://acode-browser2.usatlas.bnl.gov,No Leak,,,
https://bnlbox06.sdcc.bnl.gov,No Leak,,,
https://acode-browser.usatlas.bnl.gov,No Leak,,,
https://blcond03.sdcc.bnl.gov,No Leak,,,
https://acode-browser1.usatlas.bnl.gov,No Leak,,,
https://blrucio11.sdcc.bnl.gov,No Leak,,,
https://bnlbox05.sdcc.bnl.gov,No Leak,,,
https://blrucio.sdcc.bnl.gov,No Leak,,,
https://chat.sdcc.bnl.gov,No Leak,,,
https://blruciotracer.sdcc.bnl.gov,No Leak,,,
https://balancer-ext.nsls2.bnl.gov,No Leak,,,
https://auth.sdcc.bnl.gov,No Leak,,,
https://blcond06.sdcc.bnl.gov,No Leak,,,
https://bnl.gov,No Leak,,,
https://blruciotest.sdcc.bnl.gov,No Leak,,,
https://bnlbox.sdcc.bnl.gov,No Leak,,,
https://cadweb.bnl.gov,No Leak,,,
https://blrucio08.sdcc.bnl.gov,No Leak,,,
https://blrucio07.sdcc.bnl.gov,No Leak,,,
https://bera.bnl.gov,No Leak,,,
https://bnlbox05-vrrp.sdcc.bnl.gov,No Leak,,,
https://comanage-dev.sdcc.bnl.gov,No Leak,,,
https://comanage.sdcc.bnl.gov,No Leak,,,
https://cache1.bnl.gov,No Leak,,,
https://cdbweb.sdcc.bnl.gov,No Leak,,,
https://cvmfs-s1c.sdcc.bnl.gov,No Leak,,,
https://cvmfs-reverse4.sdcc.bnl.gov,No Leak,,,
https://cvmfs.racf.bnl.gov,No Leak,,,
https://dashboard1.star.bnl.gov,No Leak,,,
https://cvmfs-reverse3.sdcc.bnl.gov,No Leak,,,
https://dcbldoor04.sdcc.bnl.gov,No Leak,,,
https://dcbldoor05.sdcc.bnl.gov,No Leak,,,
https://dcbldoor.sdcc.bnl.gov,No Leak,,,
https://dcdndoor.sdcc.bnl.gov,No Leak,,,
https://dcdndoor03.sdcc.bnl.gov,No Leak,,,
https://dayabay.bnl.gov,No Leak,,,
https://dcdndoor04.sdcc.bnl.gov,No Leak,,,
https://dcdndoor02.sdcc.bnl.gov,No Leak,,,
https://dcbldoor03.sdcc.bnl.gov,No Leak,,,
https://dcdoor22.usatlas.bnl.gov,No Leak,,,
https://dcdoor-tape.usatlas.bnl.gov,No Leak,,,
https://dcdoor23.usatlas.bnl.gov,No Leak,,,
https://dcdoor24.usatlas.bnl.gov,No Leak,,,
https://dcdoor29.usatlas.bnl.gov,No Leak,,,
https://dcdoor28.usatlas.bnl.gov,No Leak,,,
https://dcdoor26.usatlas.bnl.gov,No Leak,,,
https://dcdoor27.usatlas.bnl.gov,No Leak,,,
https://dcdoor25.usatlas.bnl.gov,No Leak,,,
https://dcdoor30.usatlas.bnl.gov,No Leak,,,
https://dcdoor32.usatlas.bnl.gov,No Leak,,,
https://dcdoor33.usatlas.bnl.gov,No Leak,,,
https://dcint-door001.sdcc.bnl.gov,No Leak,,,
https://dcdoor34.usatlas.bnl.gov,No Leak,,,
https://dcdoor35.usatlas.bnl.gov,No Leak,,,
https://dcdoor31.usatlas.bnl.gov,No Leak,,,
https://dcint-door002.sdcc.bnl.gov,No Leak,,,
https://discourse.sdcc.bnl.gov,No Leak,,,
https://dean.star.bnl.gov,No Leak,,,
https://discoverypark.bnl.gov,No Leak,,,
https://drupal.star.bnl.gov,No Leak,,,
https://dtn03.sdcc.bnl.gov,No Leak,,,
https://dcintdoor.sdcc.bnl.gov,No Leak,,,
https://drupal2.star.bnl.gov,No Leak,,,
https://duo-fed-enroll.bnl.gov,No Leak,,,
https://eic-code-browser.sdcc.bnl.gov,No Leak,,,
https://dtn01.sdcc.bnl.gov,No Leak,,,
https://dtn1.nsls2.bnl.gov,No Leak,,,
https://eic-hub.bnl.gov,No Leak,,,
https://dune.bnl.gov,No Leak,,,
https://git.nndc.bnl.gov,No Leak,,,
https://essential.bnl.gov,No Leak,,,
https://errors.bnl.gov,No Leak,,,
https://epics.nsls2.bnl.gov,No Leak,,,
https://globus01.sdcc.bnl.gov,No Leak,,,
https://globus11-ext.nsls2.bnl.gov,No Leak,,,
https://globus2-ext.nsls2.bnl.gov,No Leak,,,
https://guest.bnl.gov,No Leak,,,
https://globus9-ext.nsls2.bnl.gov,No Leak,,,
https://globus12-ext.nsls2.bnl.gov,No Leak,,,
https://hq2012.bnl.gov,No Leak,,,
https://hq2010.bnl.gov,No Leak,,,
https://guestservices.bnl.gov,No Leak,,,
https://guestcentral.bnl.gov,No Leak,,,
https://hx.itd.bnl.gov,No Leak,,,
https://hq2016.bnl.gov,No Leak,,,
https://idp.bnl.gov,No Leak,,,
https://indico.bnl.gov,No Leak,,,
https://internalcomms-read.bnl.gov,No Leak,,,
https://lar.bnl.gov,No Leak,,,
https://internalcomms.bnl.gov,No Leak,,,
https://icalepcs2019.bnl.gov,No Leak,,,
https://lbne.bnl.gov,No Leak,,,
https://infrared.phy.bnl.gov,No Leak,,,
https://jobs.bnl.gov,No Leak,,,
https://lists.bnl.gov,No Leak,,,
https://lightshowai.bnl.gov,No Leak,,,
https://ldmsgateway.bnl.gov,No Leak,,,
https://login.bnl.gov,No Leak,,,
https://login-dev.bnl.gov,No Leak,,,
https://nsrl.bnl.gov,No Leak,,,
https://nnsdset01.sdcc.bnl.gov,No Leak,,,
https://npps.bnl.gov,No Leak,,,
https://mps.itd.bnl.gov,No Leak,,,
https://nxent01.sdcc.bnl.gov,No Leak,,,
https://monitoring.sdcc.bnl.gov,No Leak,,,
https://nxent02.sdcc.bnl.gov,No Leak,,,
https://osgsub01.sdcc.bnl.gov,No Leak,,,
https://pandamon01.sdcc.bnl.gov,No Leak,,,
https://pandaharvester01.sdcc.bnl.gov,No Leak,,,
https://qm2008.bnl.gov,No Leak,,,
https://phyppro1.phy.bnl.gov,No Leak,,,
https://rev-cache1.bnl.gov,No Leak,,,
https://proxy1.nsls2.bnl.gov,No Leak,,,
https://rcf.bnl.gov,No Leak,,,
https://pandaserver02.sdcc.bnl.gov,No Leak,,,
https://ppm.bnl.gov,No Leak,,,
https://phonebook.sdcc.bnl.gov,No Leak,,,
https://rhicii-science.bnl.gov,No Leak,,,
https://romanpot-logbook.phy.bnl.gov,No Leak,,,
https://sciserver.sdcc.bnl.gov,No Leak,,,
https://snews.bnl.gov,No Leak,,,
https://surveys.external.bnl.gov,No Leak,,,
https://support.bnl.gov,No Leak,,,
https://star.bnl.gov,No Leak,,,
https://status.nsls2.bnl.gov,No Leak,,,
https://training.bnl.gov,No Leak,,,
https://sts.bnl.gov,No Leak,,,
https://tiled.nsls2.bnl.gov,No Leak,,,
https://spin.riken.bnl.gov,No Leak,,,
https://travelform.bnl.gov,No Leak,,,
https://vdi1-ext.nsls2.bnl.gov,No Leak,,,
https://try.nsls2.bnl.gov,No Leak,,,
https://vdi.nsls2.bnl.gov,No Leak,,,
https://vdi-bind-ext.nsls2.bnl.gov,No Leak,,,
https://vdi2-ext.nsls2.bnl.gov,No Leak,,,
https://vpngateway.standby.bnl.gov,No Leak,,,
https://vdi3-ext.nsls2.bnl.gov,No Leak,,,
https://webmail.rhic.bnl.gov,No Leak,,,
https://useraccount.sdcc.bnl.gov,No Leak,,,
https://web.racf.bnl.gov,No Leak,,,
https://webproxy.sdcc.bnl.gov,No Leak,,,
https://wiki-nsls2.bnl.gov,No Leak,,,
https://webproxy1.sdcc.bnl.gov,No Leak,,,
https://webview.nsls2.bnl.gov,No Leak,,,
https://wiki.bnl.gov,No Leak,,,
https://www.bnl.gov,No Leak,,,
https://www.agsrhichome.bnl.gov,No Leak,,,
https://www.agshome.bnl.gov,No Leak,,,
https://wiki.sphenix.bnl.gov,No Leak,,,
https://www.cadops.bnl.gov,No Leak,,,
https://www.g-2.bnl.gov,No Leak,,,
https://www.cap.bnl.gov,No Leak,,,
https://www.nndc.bnl.gov,No Leak,,,
https://www.cosmo.bnl.gov,No Leak,,,
https://www.phenix.bnl.gov,No Leak,,,
https://www.cadops2.bnl.gov,No Leak,,,
https://www.rhichome.bnl.gov,No Leak,,,
https://www.sdcc.bnl.gov,No Leak,,,
https://www.racf.bnl.gov,No Leak,,,
https://www.sphenix.bnl.gov,No Leak,,,
