domain,ip,http_status,http_title,whois_info,source_file
tiled.nsls2.bnl.gov,192.203.218.41,200,Tiled,CIDR:           192.203.218.0/24; NetName:        CTRLLAB; OriginAS:; Organization:   Brookhaven National Laboratory (BNL-Z),outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
tiled.nsls2.bnl.gov,192.203.218.28,200,Tiled,CIDR:           192.203.218.0/24; NetName:        CTRLLAB; OriginAS:; Organization:   Brookhaven National Laboratory (BNL-Z),outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
jenkins1.nsls2.bnl.gov,130.199.180.30,,,CIDR:           130.199.0.0/16; NetName:        YAPNET; OriginAS:; Organization:   Brookhaven National Laboratory (BNL-Z),outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
www3.bnl.gov,130.199.3.23,503,,CIDR:           130.199.0.0/16; NetName:        YAPNET; OriginAS:; Organization:   Brookhaven National Laboratory (BNL-Z),outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
proxy1.nsls2.bnl.gov,198.125.209.50,403,,CIDR:           198.124.0.0/14; NetName:        ESNET-CIDR-A; OriginAS:; Organization:   ESnet (ENSN-Z); CIDR:           198.125.208.0/20; NetName:        BNLSCIDMZ; Parent:         ESNET-CIDR-A (NET-198-124-0-0-1); OriginAS:; Organization:   Brookhaven National Laboratory (BNL),outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
bldiracvm03.sdcc.bnl.gov,192.33.128.22,,,CIDR:           192.33.128.0/24; NetName:        BNL-AGS; OriginAS:; Organization:   Brookhaven National Laboratory (BNL-Z),outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
support.bnl.gov,130.199.4.47,200,Support Portal,CIDR:           130.199.0.0/16; NetName:        YAPNET; OriginAS:; Organization:   Brookhaven National Laboratory (BNL-Z),outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
bnlbox08.sdcc.bnl.gov,198.125.208.51,,,CIDR:           198.124.0.0/14; NetName:        ESNET-CIDR-A; OriginAS:; Organization:   ESnet (ENSN-Z); CIDR:           198.125.208.0/20; NetName:        BNLSCIDMZ; Parent:         ESNET-CIDR-A (NET-198-124-0-0-1); OriginAS:; Organization:   Brookhaven National Laboratory (BNL),outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
aiq-d4.itd.bnl.gov,130.199.4.29,,,CIDR:           130.199.0.0/16; NetName:        YAPNET; OriginAS:; Organization:   Brookhaven National Laboratory (BNL-Z),outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
cm.faster.bnl.gov,130.199.59.83,,,CIDR:           130.199.0.0/16; NetName:        YAPNET; OriginAS:; Organization:   Brookhaven National Laboratory (BNL-Z),outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
cvmfs-reverse3.sdcc.bnl.gov,192.12.15.239,403,,CIDR:           192.12.15.0/24; NetName:        BROOKNET; OriginAS:; Organization:   Brookhaven National Laboratory (BNL-Z),outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
lb1-ext.nsls2.bnl.gov,198.125.209.27,,,CIDR:           198.124.0.0/14; NetName:        ESNET-CIDR-A; OriginAS:; Organization:   ESnet (ENSN-Z); CIDR:           198.125.208.0/20; NetName:        BNLSCIDMZ; Parent:         ESNET-CIDR-A (NET-198-124-0-0-1); OriginAS:; Organization:   Brookhaven National Laboratory (BNL),outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
gcemaster02.sdcc.bnl.gov,130.199.6.3,,,CIDR:           130.199.0.0/16; NetName:        YAPNET; OriginAS:; Organization:   Brookhaven National Laboratory (BNL-Z),outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
vault.sdcc.bnl.gov,198.125.208.10,,,CIDR:           198.124.0.0/14; NetName:        ESNET-CIDR-A; OriginAS:; Organization:   ESnet (ENSN-Z); CIDR:           198.125.208.0/20; NetName:        BNLSCIDMZ; Parent:         ESNET-CIDR-A (NET-198-124-0-0-1); OriginAS:; Organization:   Brookhaven National Laboratory (BNL),outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
gpstime1.sdcc.bnl.gov,130.199.148.190,,,CIDR:           130.199.0.0/16; NetName:        YAPNET; OriginAS:; Organization:   Brookhaven National Laboratory (BNL-Z),outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
idp.bnl.gov,34.236.206.116,200,BNL Shibboleth idP Service,CIDR:           34.192.0.0/10; NetName:        AT-88-Z; OriginAS:; Organization:   Amazon Technologies Inc. (AT-88-Z),outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
idp.bnl.gov,23.22.144.44,200,BNL Shibboleth idP Service,"CIDR:           23.20.0.0/14; NetName:        AMAZON-EC2-USEAST-10; OriginAS:; Organization:   Amazon.com, Inc. (AMAZO-4); CIDR:           23.20.0.0/14; NetName:        AMAZON-IAD; OriginAS:; Organization:   Amazon Data Services Northern Virginia (ADSN-1)",outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
idp.bnl.gov,13.219.6.124,200,BNL Shibboleth idP Service,"CIDR:           13.200.0.0/13, 13.224.0.0/12, 13.208.0.0/12; NetName:        AT-88-Z; OriginAS:; Organization:   Amazon Technologies Inc. (AT-88-Z); CIDR:           13.216.0.0/13; NetName:        AMAZON-IAD; OriginAS:; Organization:   Amazon Data Services Northern Virginia (ADSN-1)",outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
idp.bnl.gov,98.83.235.92,200,BNL Shibboleth idP Service,"CIDR:           98.80.0.0/12; NetName:        AMAZO-4; OriginAS:; Organization:   Amazon.com, Inc. (AMAZO-4); CIDR:           98.80.0.0/13; NetName:        AMAZON-IAD; OriginAS:; Organization:   Amazon Data Services Northern Virginia (ADSN-1)",outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
idp.bnl.gov,54.160.71.8,200,BNL Shibboleth idP Service,"CIDR:           54.220.0.0/15, 54.160.0.0/11, 54.192.0.0/12, 54.144.0.0/12, 54.216.0.0/14, 54.208.0.0/13; NetName:        AMAZON; OriginAS:; Organization:   Amazon Technologies Inc. (AT-88-Z)",outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
idp.bnl.gov,54.86.210.79,200,BNL Shibboleth idP Service,CIDR:           54.64.0.0/11; NetName:        AMAZON-2011L; OriginAS:; Organization:   Amazon Technologies Inc. (AT-88-Z),outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
essential.bnl.gov,34.236.206.116,200,Brookhaven National Laboratory Login Service,CIDR:           34.192.0.0/10; NetName:        AT-88-Z; OriginAS:; Organization:   Amazon Technologies Inc. (AT-88-Z),outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
essential.bnl.gov,13.219.6.124,200,Brookhaven National Laboratory Login Service,"CIDR:           13.224.0.0/12, 13.200.0.0/13, 13.208.0.0/12; NetName:        AT-88-Z; OriginAS:; Organization:   Amazon Technologies Inc. (AT-88-Z); CIDR:           13.216.0.0/13; NetName:        AMAZON-IAD; OriginAS:; Organization:   Amazon Data Services Northern Virginia (ADSN-1)",outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
essential.bnl.gov,54.160.71.8,200,Brookhaven National Laboratory Login Service,"CIDR:           54.160.0.0/11, 54.216.0.0/14, 54.144.0.0/12, 54.192.0.0/12, 54.220.0.0/15, 54.208.0.0/13; NetName:        AMAZON; OriginAS:; Organization:   Amazon Technologies Inc. (AT-88-Z)",outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
essential.bnl.gov,98.83.235.92,200,Brookhaven National Laboratory Login Service,"CIDR:           98.80.0.0/12; NetName:        AMAZO-4; OriginAS:; Organization:   Amazon.com, Inc. (AMAZO-4); CIDR:           98.80.0.0/13; NetName:        AMAZON-IAD; OriginAS:; Organization:   Amazon Data Services Northern Virginia (ADSN-1)",outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
essential.bnl.gov,23.22.144.44,200,Brookhaven National Laboratory Login Service,"CIDR:           23.20.0.0/14; NetName:        AMAZON-EC2-USEAST-10; OriginAS:; Organization:   Amazon.com, Inc. (AMAZO-4); CIDR:           23.20.0.0/14; NetName:        AMAZON-IAD; OriginAS:; Organization:   Amazon Data Services Northern Virginia (ADSN-1)",outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
essential.bnl.gov,54.86.210.79,200,Brookhaven National Laboratory Login Service,CIDR:           54.64.0.0/11; NetName:        AMAZON-2011L; OriginAS:; Organization:   Amazon Technologies Inc. (AT-88-Z),outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
gcemaster04.rcf.bnl.gov,130.199.6.58,,,CIDR:           130.199.0.0/16; NetName:        YAPNET; OriginAS:; Organization:   Brookhaven National Laboratory (BNL-Z),outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
extmon02.rcf.bnl.gov,130.199.57.14,,,CIDR:           130.199.0.0/16; NetName:        YAPNET; OriginAS:; Organization:   Brookhaven National Laboratory (BNL-Z),outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
cs.faster.bnl.gov,130.199.4.60,,,CIDR:           130.199.0.0/16; NetName:        YAPNET; OriginAS:; Organization:   Brookhaven National Laboratory (BNL-Z),outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
stargw.starp.bnl.gov,130.199.60.76,,,CIDR:           130.199.0.0/16; NetName:        YAPNET; OriginAS:; Organization:   Brookhaven National Laboratory (BNL-Z),outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
stargw.starp.bnl.gov,130.199.60.74,,,CIDR:           130.199.0.0/16; NetName:        YAPNET; OriginAS:; Organization:   Brookhaven National Laboratory (BNL-Z),outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
stargw.starp.bnl.gov,130.199.60.84,,,CIDR:           130.199.0.0/16; NetName:        YAPNET; OriginAS:; Organization:   Brookhaven National Laboratory (BNL-Z),outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
idm11.sdcc.bnl.gov,130.199.148.173,,,CIDR:           130.199.0.0/16; NetName:        YAPNET; OriginAS:; Organization:   Brookhaven National Laboratory (BNL-Z),outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
bldiracvm05.sdcc.bnl.gov,192.33.128.25,,,CIDR:           192.33.128.0/24; NetName:        BNL-AGS; OriginAS:; Organization:   Brookhaven National Laboratory (BNL-Z),outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
real.bnl.gov,130.199.4.45,,,CIDR:           130.199.0.0/16; NetName:        YAPNET; OriginAS:; Organization:   Brookhaven National Laboratory (BNL-Z),outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
try.nsls2.bnl.gov,192.203.218.23,200,Binder,CIDR:           192.203.218.0/24; NetName:        CTRLLAB; OriginAS:; Organization:   Brookhaven National Laboratory (BNL-Z),outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
try.nsls2.bnl.gov,192.203.218.39,200,Binder,CIDR:           192.203.218.0/24; NetName:        CTRLLAB; OriginAS:; Organization:   Brookhaven National Laboratory (BNL-Z),outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
fem.itd.bnl.gov,130.199.74.9,,,CIDR:           130.199.0.0/16; NetName:        YAPNET; OriginAS:; Organization:   Brookhaven National Laboratory (BNL-Z),outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
presidio-1.bnl.gov,130.199.129.89,,,,outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
ssh02.sdcc.bnl.gov,198.125.209.11,,,CIDR:           198.124.0.0/14; NetName:        ESNET-CIDR-A; OriginAS:; Organization:   ESnet (ENSN-Z); CIDR:           198.125.208.0/20; NetName:        BNLSCIDMZ; Parent:         ESNET-CIDR-A (NET-198-124-0-0-1); OriginAS:; Organization:   Brookhaven National Laboratory (BNL),outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
balancer3-ext.nsls2.bnl.gov,192.203.218.26,,,CIDR:           192.203.218.0/24; NetName:        CTRLLAB; OriginAS:; Organization:   Brookhaven National Laboratory (BNL-Z),outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
blcond03.sdcc.bnl.gov,192.33.128.44,200,Swagger UI,CIDR:           192.33.128.0/24; NetName:        BNL-AGS; OriginAS:; Organization:   Brookhaven National Laboratory (BNL-Z),outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
scidmz2.sci-dmz.s210-0.bnl.gov,198.125.210.3,,,CIDR:           198.124.0.0/14; NetName:        ESNET-CIDR-A; OriginAS:; Organization:   ESnet (ENSN-Z); CIDR:           198.125.208.0/20; NetName:        BNLSCIDMZ; Parent:         ESNET-CIDR-A (NET-198-124-0-0-1); OriginAS:; Organization:   Brookhaven National Laboratory (BNL),outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
sftp.sdcc.bnl.gov,198.125.209.29,,,,outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
sftp.sdcc.bnl.gov,198.125.209.28,,,CIDR:           198.124.0.0/14; NetName:        ESNET-CIDR-A; OriginAS:; Organization:   ESnet (ENSN-Z); CIDR:           198.125.208.0/20; NetName:        BNLSCIDMZ; Parent:         ESNET-CIDR-A (NET-198-124-0-0-1); OriginAS:; Organization:   Brookhaven National Laboratory (BNL),outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
admingw01.sdcc.bnl.gov,130.199.57.10,,,,outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
sftp2-ext.nsls2.bnl.gov,192.203.218.84,,,,outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
