domain,waf_detected,waf_headers
https://internalcomms.bnl.gov,False,"Error: HTTPSConnectionPool(host='https', port=443): Max retries exceeded with url: /internalcomms.bnl.gov (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x7f467aa16710>: Failed to resolve 'https' ([Errno -2] Name or service not known)""))"
https://travelform.bnl.gov,False,"Error: HTTPSConnectionPool(host='https', port=443): Max retries exceeded with url: /travelform.bnl.gov (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x7f467aa14e10>: Failed to resolve 'https' ([Errno -2] Name or service not known)""))"
https://bidspecs.bnl.gov,False,"Error: HTTPSConnectionPool(host='https', port=443): Max retries exceeded with url: /bidspecs.bnl.gov (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x7f467a9a91d0>: Failed to resolve 'https' ([Errno -2] Name or service not known)""))"
https://proxy1.nsls2.bnl.gov,False,"Error: HTTPSConnectionPool(host='https', port=443): Max retries exceeded with url: /proxy1.nsls2.bnl.gov (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x7f467aa17390>: Failed to resolve 'https' ([Errno -2] Name or service not known)""))"
https://dcdoor35.usatlas.bnl.gov,False,"Error: HTTPSConnectionPool(host='https', port=443): Max retries exceeded with url: /dcdoor35.usatlas.bnl.gov (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x7f467a9a8cd0>: Failed to resolve 'https' ([Errno -2] Name or service not known)""))"
https://cvmfs.racf.bnl.gov,False,"Error: HTTPSConnectionPool(host='https', port=443): Max retries exceeded with url: /cvmfs.racf.bnl.gov (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x7f467ab2bc50>: Failed to resolve 'https' ([Errno -2] Name or service not known)""))"
https://www2.star.bnl.gov,False,"Error: HTTPSConnectionPool(host='https', port=443): Max retries exceeded with url: /www2.star.bnl.gov (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x7f4678083110>: Failed to resolve 'https' ([Errno -2] Name or service not known)""))"
https://vdi1-ext.nsls2.bnl.gov,False,"Error: HTTPSConnectionPool(host='https', port=443): Max retries exceeded with url: /vdi1-ext.nsls2.bnl.gov (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x7f467aa7b890>: Failed to resolve 'https' ([Errno -2] Name or service not known)""))"
https://pandaharvester01.sdcc.bnl.gov,False,"Error: HTTPSConnectionPool(host='https', port=443): Max retries exceeded with url: /pandaharvester01.sdcc.bnl.gov (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x7f467a9a9a90>: Failed to resolve 'https' ([Errno -2] Name or service not known)""))"
https://www.cadops.bnl.gov,False,"Error: HTTPSConnectionPool(host='https', port=443): Max retries exceeded with url: /www.cadops.bnl.gov (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x7f467aa78190>: Failed to resolve 'https' ([Errno -2] Name or service not known)""))"
