Domain,IP,Status
130-199-251-1.nat.bnl.de,103.224.182.245,Active
130-199-251-1.nat.bnl.gov,130.199.251.1,Active
130-199-251-1.nat.bnl.net,64.237.52.187,Active
130-199-251-1.nat.bnl.us,103.224.182.238,Active
130-199-251-1.nat.bnl.uk,"76.223.54.146, 13.248.169.48",Active
130-199-251-1.nat.bnl.in,86.111.242.221,Active
130-199-251-1.nat.bnl.ru,45.130.41.107,Active
130-199-251-1.nat.bnl.cn,170.33.12.185,Active
130-199-251-1.nat.bnl.icu,"47.91.170.222, 8.218.208.240, 47.76.127.217",Active
130-199-251-10.nat.bnl.gov,130.199.251.10,Active
130-199-251-10.nat.bnl.de,103.224.182.245,Active
130-199-251-10.nat.bnl.net,64.237.52.187,Active
130-199-251-10.nat.bnl.cn,170.33.12.185,Active
130-199-251-10.nat.bnl.icu,"47.76.127.217, 8.218.208.240, 47.91.170.222",Active
130-199-251-10.nat.bnl.in,86.111.242.221,Active
130-199-251-10.nat.bnl.uk,"76.223.54.146, 13.248.169.48",Active
130-199-251-10.nat.bnl.us,103.224.182.238,Active
130-199-251-10.nat.bnl.ru,45.130.41.107,Active
130-199-251-11.nat.bnl.gov,130.199.251.11,Active
130-199-251-11.nat.bnl.de,103.224.182.245,Active
130-199-251-11.nat.bnl.icu,"8.218.208.240, 47.91.170.222, 47.76.127.217",Active
130-199-251-11.nat.bnl.in,86.111.242.221,Active
130-199-251-11.nat.bnl.cn,170.33.12.185,Active
130-199-251-11.nat.bnl.net,64.237.52.187,Active
130-199-251-11.nat.bnl.us,103.224.182.238,Active
130-199-251-11.nat.bnl.uk,"76.223.54.146, 13.248.169.48",Active
130-199-251-11.nat.bnl.ru,45.130.41.107,Active
130-199-251-12.nat.bnl.gov,130.199.251.12,Active
130-199-251-12.nat.bnl.net,64.237.52.187,Active
130-199-251-12.nat.bnl.de,103.224.182.245,Active
130-199-251-12.nat.bnl.cn,170.33.12.185,Active
130-199-251-12.nat.bnl.uk,"76.223.54.146, 13.248.169.48",Active
130-199-251-12.nat.bnl.us,103.224.182.238,Active
130-199-251-12.nat.bnl.in,86.111.242.221,Active
130-199-251-12.nat.bnl.ru,45.130.41.107,Active
130-199-251-12.nat.bnl.icu,"8.218.208.240, 47.91.170.222, 47.76.127.217",Active
130-199-251-13.nat.bnl.de,103.224.182.245,Active
130-199-251-13.nat.bnl.net,64.237.52.187,Active
130-199-251-13.nat.bnl.gov,130.199.251.13,Active
130-199-251-13.nat.bnl.cn,170.33.12.185,Active
130-199-251-13.nat.bnl.uk,"76.223.54.146, 13.248.169.48",Active
130-199-251-13.nat.bnl.us,103.224.182.238,Active
130-199-251-13.nat.bnl.icu,"8.218.208.240, 47.76.127.217, 47.91.170.222",Active
130-199-251-13.nat.bnl.in,86.111.242.221,Active
130-199-251-13.nat.bnl.ru,45.130.41.107,Active
130-199-251-14.nat.bnl.de,103.224.182.245,Active
130-199-251-14.nat.bnl.gov,130.199.251.14,Active
130-199-251-14.nat.bnl.cn,170.33.12.185,Active
130-199-251-14.nat.bnl.net,64.237.52.187,Active
130-199-251-14.nat.bnl.icu,"47.76.127.217, 8.218.208.240, 47.91.170.222",Active
130-199-251-14.nat.bnl.in,86.111.242.221,Active
130-199-251-14.nat.bnl.uk,"13.248.169.48, 76.223.54.146",Active
130-199-251-14.nat.bnl.us,103.224.182.238,Active
130-199-251-14.nat.bnl.ru,45.130.41.107,Active
130-199-251-15.nat.bnl.de,103.224.182.245,Active
130-199-251-15.nat.bnl.cn,170.33.12.185,Active
130-199-251-15.nat.bnl.net,64.237.52.187,Active
130-199-251-15.nat.bnl.in,86.111.242.221,Active
130-199-251-15.nat.bnl.gov,130.199.251.15,Active
130-199-251-15.nat.bnl.icu,"47.76.127.217, 8.218.208.240, 47.91.170.222",Active
130-199-251-15.nat.bnl.uk,"13.248.169.48, 76.223.54.146",Active
130-199-251-15.nat.bnl.us,103.224.182.238,Active
130-199-251-15.nat.bnl.ru,45.130.41.107,Active
130-199-251-16.nat.bnl.gov,130.199.251.16,Active
130-199-251-17.nat.bnl.de,103.224.182.245,Active
130-199-251-17.nat.bnl.gov,130.199.251.17,Active
130-199-251-17.nat.bnl.cn,170.33.12.185,Active
130-199-251-17.nat.bnl.icu,"47.76.127.217, 47.91.170.222, 8.218.208.240",Active
130-199-251-17.nat.bnl.net,64.237.52.187,Active
130-199-251-17.nat.bnl.in,86.111.242.221,Active
130-199-251-17.nat.bnl.uk,"76.223.54.146, 13.248.169.48",Active
130-199-251-17.nat.bnl.us,103.224.182.238,Active
130-199-251-17.nat.bnl.ru,45.130.41.107,Active
130-199-251-18.nat.bnl.de,103.224.182.245,Active
130-199-251-18.nat.bnl.gov,130.199.251.18,Active
130-199-251-18.nat.bnl.cn,170.33.12.185,Active
